"[2023-09-23 14:09:51.708]  13.11[rpm]	Before: 756935019[us]	After: 766086717[us]	Width: 9151698[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 766087304 [us]	IGN_OFF: 766087000 [us]	INJ_ON: 772013435 [us]	INJ_OFF: 772013435 [us]"
"[2023-09-23 14:09:51.725]   9.98[rpm]	Before: 766086717[us]	After: 778107086[us]	Width: 12020369[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 778107651 [us]	IGN_OFF: 778108663 [us]	INJ_ON: 784033806 [us]	INJ_OFF: 784033806 [us]"
"[2023-09-23 14:09:51.725]   9.98[rpm]	Before: 778107086[us]	After: 790127455[us]	Width: 12020369[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 790128023 [us]	IGN_OFF: 790129035 [us]	INJ_ON: 796054153 [us]	INJ_OFF: 796054153 [us]"
"[2023-09-23 14:09:58.551]  10.63[rpm]	Before: 790127455[us]	After: 801411337[us]	Width: 11283882[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 801411329 [us]	IGN_OFF: 801412345 [us]	INJ_ON: 802086767 [us]	INJ_OFF: 802086767 [us]"
"[2023-09-23 14:09:59.615] 112.87[rpm]	Before: 801411337[us]	After: 802474531[us]	Width: 1063194[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 802474520 [us]	IGN_OFF: 802475537 [us]	INJ_ON: 802740414 [us]	INJ_OFF: 802740414 [us]"
"[2023-09-23 14:10:00.098] 248.47[rpm]	Before: 802474531[us]	After: 802957489[us]	Width: 482958[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 802958069 [us]	IGN_OFF: 802959081 [us]	INJ_ON: 803143558 [us]	INJ_OFF: 803143558 [us]"
"[2023-09-23 14:10:02.517] 329.96[rpm]	Before: 802957489[us]	After: 803321174[us]	Width: 363685[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 803321765 [us]	IGN_OFF: 803322776 [us]	INJ_ON: 803484757 [us]	INJ_OFF: 803484757 [us]"
"[2023-09-23 14:10:02.517] 362.25[rpm]	Before: 803321174[us]	After: 803652434[us]	Width: 331260[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 803653024 [us]	IGN_OFF: 803654036 [us]	INJ_ON: 803811963 [us]	INJ_OFF: 803811963 [us]"
"[2023-09-23 14:10:02.517] 373.67[rpm]	Before: 803652434[us]	After: 803973577[us]	Width: 321143[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 803974131 [us]	IGN_OFF: 803975131 [us]	INJ_ON: 804128938 [us]	INJ_OFF: 804128938 [us]"
"[2023-09-23 14:10:02.517] 382.59[rpm]	Before: 803973577[us]	After: 804287226[us]	Width: 313649[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 804287815 [us]	IGN_OFF: 804288827 [us]	INJ_ON: 804437575 [us]	INJ_OFF: 804437575 [us]"
"[2023-09-23 14:10:02.517] 393.96[rpm]	Before: 804287226[us]	After: 804591825[us]	Width: 304599[us]	INJ: 0.0[ms]	IGN: 0[CA] 	IGN_ON: 804592397 [us]	IGN_OFF: 804593409 [us]	INJ_ON: 804741985 [us]	INJ_OFF: 804741985 [us]"
